epochs;batch_size;data_aug;activation_function;learning_rate;mean_score;time
10;64;False;relu;0.001;0.932;14:30:00
10;128;False;relu;0.001;0.930;10:53:00
5;64;False;relu;0.001;0.918;08:30:00
5;128;False;relu;0.001;0.917;05:54:00
10;64;False;sigmoid;0.001;0.882;18:09:00
5;128;False;relu;0.01;0.861;05:51:00
10;64;False;relu;0.01;0.856;12:26:00
5;64;False;relu;0.01;0.846;07:27:00
10;128;False;relu;0.01;0.840;10:50:00
10;128;True;relu;0.001;0.832;13:52:00
10;64;True;relu;0.001;0.822;14:42:00
5;64;False;sigmoid;0.001;0.793;08:18:00
5;64;True;relu;0.001;0.784;08:42:00
5;128;True;relu;0.001;0.775;07:43:00
5;128;True;relu;0.01;0.658;07:39:00
5;64;True;relu;0.01;0.645;08:45:00
5;128;False;sigmoid;0.001;0.468;06:24:00
5;128;True;sigmoid;0.01;0.1;08:23:00
10;64;True;sigmoid;0.01;0.1;19:27:00
10;128;True;sigmoid;0.01;0.1;16:00:00
5;64;False;sigmoid;0.01;0.1;08:25:00
5;128;False;sigmoid;0.01;0.1;06:30:00
10;64;False;sigmoid;0.01;0.1;16:59:00
10;128;False;sigmoid;0.001;0.1;12:30:00
10;128;False;sigmoid;0.01;0.1;12:08:00
10;64;True;relu;0.01;0.099;14:48:00
10;128;True;relu;0.01;0.099;13:45:00
5;64;True;sigmoid;0.001;0.098;09:20:00
5;64;True;sigmoid;0.01;0.098;10:09:00
5;128;True;sigmoid;0.001;0.098;09:19:00
10;64;True;sigmoid;0.001;0.098;19:30:00
10;128;True;sigmoid;0.001;0.098;16:02:00
