epochs,batch_size,data_aug,activation_function,learning_rate,mean_score,time
10,64,False,relu,0.001,0.917,1:33
10,128,False,relu,0.001,0.913,0:51
10,64,False,sigmoid,0.001,0.909,1:35
10,128,False,sigmoid,0.001,0.903,0:52
5,64,False,relu,0.001,0.901,0:40
5,128,False,relu,0.001,0.898,0:30
5,64,False,sigmoid,0.001,0.898,0:41
5,128,False,sigmoid,0.001,0.892,0:32
10,128,False,sigmoid,0.01,0.891,0:53
10,128,False,relu,0.01,0.885,0:49
5,128,False,sigmoid,0.01,0.884,0:32
10,64,False,sigmoid,0.01,0.878,1:42
5,128,False,relu,0.01,0.877,0:29
5,64,False,sigmoid,0.01,0.872,0:41
5,64,False,relu,0.01,0.871,0:41
10,64,False,relu,0.01,0.869,1:25
10,64,True,relu,0.001,0.792,9:48
10,128,True,relu,0.001,0.787,9:25
5,64,True,relu,0.001,0.766,4:30
5,128,True,relu,0.001,0.766,4:16
10,64,True,sigmoid,0.001,0.759,9:07
10,128,True,sigmoid,0.01,0.756,8:59
10,128,True,sigmoid,0.001,0.754,8:54
5,128,True,sigmoid,0.01,0.736,4:15
5,64,True,sigmoid,0.001,0.734,4:51
10,64,True,sigmoid,0.01,0.725,8:55
5,128,True,sigmoid,0.001,0.721,4:06
5,64,True,sigmoid,0.01,0.71,4:46
5,128,True,relu,0.01,0.705,4:25
10,128,True,relu,0.01,0.704,8:59
5,64,True,relu,0.01,0.691,4:31
10,64,True,relu,0.01,0.685,9:11
