epochs,batch_size,data_aug,activation_function,learning_rate,mean_score,time
10,128,False,relu,0.001,0.913,11:34
10,128,False,sigmoid,0.01,0.907,12:06
10,64,False,sigmoid,0.01,0.903,15:51
5,64,False,relu,0.001,0.901,10:14
5,128,False,relu,0.001,0.898,5:59
5,64,False,sigmoid,0.01,0.895,8:06
5,128,False,sigmoid,0.01,0.89,6:13
10,64,False,sigmoid,0.001,0.885,15:45
10,128,False,sigmoid,0.001,0.87,12:05
5,64,False,sigmoid,0.001,0.855,8:10
5,128,False,sigmoid,0.001,0.845,6:16
10,64,True,relu,0.001,0.809,20:54
10,128,True,relu,0.001,0.801,19:59
10,128,True,sigmoid,0.01,0.785,499:49
5,128,True,relu,0.001,0.781,10:06
5,64,True,relu,0.001,0.777,10:31
10,64,True,sigmoid,0.01,0.759,20:56
10,64,False,relu,0.001,0.751,15:12
5,64,True,sigmoid,0.01,0.741,10:38
5,128,True,sigmoid,0.01,0.733,11:39
10,64,True,sigmoid,0.001,0.731,20:57
10,128,True,sigmoid,0.001,0.691,24:01
5,64,True,sigmoid,0.001,0.667,10:30
5,128,True,sigmoid,0.001,0.633,11:41
5,128,False,relu,0.01,0.444,5:57
5,64,True,relu,0.01,0.345,10:57
5,128,True,relu,0.01,0.339,10:07
10,128,False,relu,0.01,0.258,11:40
10,128,True,relu,0.01,0.218,19:55
5,64,False,relu,0.01,0.145,7:50
10,64,False,relu,0.01,0.088,15:03
10,64,True,relu,0.01,0.085,20:51
